name,global,indonesian
Binance,@binanceexchange,@binance_indonesian
Kucoin,@kucoin_exchange,@kucoin_indonesian
Bybit,@bybitenglish,@bybitindonesian
OKX,@okxofficial_english,N/A
Gate.io,@gateio,@gateio_indonesia
MEXC,@mexcenglish,@mexcindonesian
Lbank,@lbank_en,@lbankindonesiaofficial
Bitfinex,@bitfinex,N/A
Bkex,@bkexenglish,N/A
Bitmart,@bitmartexchange,N/A
Probit,@probitglobalofficial,@probitid
Bitget,@bitgeten, @bitget_indonesia
Coinex,@coinexofficialen,@coinex_official_indonesia
MoonXBT,@moonxbtglobal,@moonxbtindonesian
Phemex,@phemex_en,N/A
Huobi,@huobiglobalofficial,N/A
Bityard,@bityardenglish,@bityardindonesia
Btcex,@btcex_exchange,N/A
Poloniex,@poloniexenglish,@poloniexindonesian
Coinsbit,N/A,@indonesiancoinsbit
Okcoin,@okcoin_en,N/A
Bigone,@b1_en,N/A
BingX,@bingxofficial,@bingxindonesia
Bitrue,@bitrueofficial,N/A
Pexpay,@pexpayglobal,N/A
P2B,@p2pb2b_io,N/A
CoinW,@coinwexchangeenglish,N/A
Bitkub,@bitkubofficial,N/A
Digifinex,@digifinexen,N/A
Tapbit,@tapbitglobal,@tapbitindonesian
Bitforex,@bitforexenglish,N/A
DexTrade,@dex_trade,N/A
Indodax,N/A,@indodaxroom
Ascendex,N/A,@ascendexindonesian
Woo Network,@woo_english,@woonetwork_ina
Bitpanda Pro,@bitpandapro_en,N/A
Tokocrypto,N/A,@tokocryptoofficial
Latoken,@latoken,N/A
Fmfw,@fmfw_io,N/A
PowerTrade,@power_trade,N/A
Cryptology,@cryptology_community,N/A
Coinstore,@coinstore_english,@coinstore_indonesia
Cex.io,@cex_io,N/A
Deepcoin,@deepcoin_english,N/A
Dcoin,@deepcoin_english,N/A
Delta Exchange,@deltaexchat,N/A
Reku,N/A,@reku_id
Bibox,@BiboxExchangeEnglish,N/A
WazirX,@wazirx,N/A
Coinzoom,@coinzoomcommunity,N/A
Biconomy,@Biconomycom,N/A
Bilaxy,@bilaxychat,N/A
BTSE,@btsecom,@btse_indonesia
Probit,@probitglobalofficial,@probitid
Bitexen,@officialbitexen,N/A
Coinhub,@coinhub_en,N/A
Koinbazar,@koinbazar,N/A
NominEx,@NominexExchange,N/A
ExMarkets,@exmarkets_exchange,N/A
ZT ,@ZTGlobal_English,@ztglobal_indonesia
Stormgain,@stormgain,N/A
Hotbit,@hotbit_english,@hotbitindonesia
Cointiger,@cointiger_en,@cointiger_indonesia
Digitalexchange,N/A,@digitalexchangeidcommunity
Klever,@klever_io,N/A
Zipmex,N/A,@zipmexindonesia
Globe Exchange,@globeofficial,N/A
Jubi,@jubienglish,N/A
PowerTrade,@power_trade,N/A
Pointpay,@pointpay_eng,N/A
Chiliz,@chiliz_io,N/A
Vindax,@vindax_exchange,@vindaxindonesian
Bitcoke,@BitCoke_Official,N/A
Coinflex,@coinflex_en,N/A
